Distillery;Location;Region;Foundation Year;Owner;Closing Year;Is Closed;Is Demolished;Type of Whisky;URL;Coordinates;Founded;Status;Water source;No. of stills;Capacity;Website;Mothballed;Age(s);Cask type(s);Founder;ABV;Type;Architect;Opened;Annual production volume;Owned by;Characteristics;Company type;Industry;Latitude;Longitude;Image
Holyrood;Edinburgh, Scotland, UK;Lowland;2019;;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Holyrood_Distillery;;"2019; 6 years ago (2019)";Operational;;1 wash still1 spirit still;53,000 L;holyrooddistillery.co.uk;;;;;;;;;;;;;;55.9432;-3.1776;/wiki/File:Holyrood_Distillery_(geograph_6418456).jpg
Inchdairnie;Glenrothes, Scotland;Lowland;2015;John Fergus & Co.;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Inchdairnie_distillery;;"2015; 10 years ago (2015)";Operational;Flowers of May and Goathill springs;1 wash still1 spirit still;2 million litres per annum;;;;;Ian Palmer;;;;;;;;;;56.1812;-3.2165;/wiki/File:Inchdairnie_Distillery,_Glenrothes_-_geograph.org.uk_-_5455569.jpg
Inchgower;;Speyside;1871;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Inchgower_distillery;;1871;Active;Menduff Hills springs;2 wash stills2 spirit stills;1,990,000 litres;;;;;;;;;;;;;;;57.660833;-2.965833;/wiki/File:Inchgower_Distillery_-_geograph.org.uk_-_1133237.jpg
Jackton;;Lowland;2020;;;False;False;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Jackton_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Jura;Jura;Island;1810;Whyte & Mackay;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Jura_distillery;;1810;Operational;Loch a’Bhaile Mhargaidh;2 wash stills (24,500 L)2 spirit stills (15,500 L);2,500,000 L;;;;;;;;;;;;;;;55.830278;-5.965833;/wiki/File:Jura_Distillery_-_geograph.org.uk_-_2973104.jpg
Kilchoman;Islay;Islay;2005;Anthony Wills;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Kilchoman_distillery;;2005;Operational;Small dam close to distillery;2 wash stills2 spirit stills;500,000 L (110,000 imp gal);;;3 Years5 Years8 Years 10 Years11 Years;;;;;;;;;;;;55.796389;-6.423611;/wiki/File:Kilchoman_Distillery.jpg
Kingsbarns;Kingsbarns, Fife;Lowland;2014;Wemyss malts;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Kingsbarns_distillery;;2014;;Borehole;1 wash still1 spirit stills;200,000 L;Kingsbarns Distillery;;;;Douglas Clement;;;;;;;;;;;;/wiki/File:Kingsbarns_Distillery_-_geograph.org.uk_-_4362936.jpg
Kininvie;Dufftown, Moray;Speyside;1990;William Grant & Sons;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Kininvie_distillery;;1990;Open;Conval Hills;3 wash stills6 spirit stills;;;;;Bourbon Casks;;40%;Single malt;;;;;;;;57.4575;-3.118611;
Knockando;Knockando, Moray;Speyside;1898;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Knockando_distillery;;1898;;The Cardnach Spring;2 wash stills2 spirit stills;1,800,000 litres/per annum;;;18 Years;American White Oak, Ex-Bourbon Casks / European Oak ex-sherry casks;;43%;Single Malt;;;;;;;;57.4575;-3.338889;/wiki/File:Knockando_Distillery_-_geograph.org.uk_-_539251.jpg
Knockdhu;Knock, Banffshire;Speyside;1894;Inver House Distillers;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Knockdhu_distillery;;1894;Operational;Spring water from Knock Hill;1 wash still1 spirit still;1,700,000 litres per annum;;;12 Years18 Years;American White Oak, Ex-Bourbon Casks (Main);;40% - 50%;Single malt;;;;;;;;57.559167;-2.7625;/wiki/File:Knockdhu_Distillery_-_geograph.org.uk_-_419020.jpg
Lagg;Lagg, Isle of Arran, Scotland;Island;2019;Isle of Arran Distillers;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Lagg_distillery;;2019;Active;;1 wash still1 spirit still;Approx. 500,000 LPA;laggwhisky.com;;;;;;;;;;;;;;55.4456;-5.2482;/wiki/File:The_new_Lagg_Distillery_-_geograph.org.uk_-_6579683.jpg
Lagavulin;Islay;Islay;1816;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Lagavulin_distillery;;1816;Operational;Solum Lochs;2 wash stills (11,000 L)2 spirit stills (12,500 L);1,400,000 L;www.malts.com/en-gb/brands/lagavulin;;8-year-old12-year-old (cask strength)16-year-oldDistiller's edition21-year-old25-year-old30-year-old37-year-oldOfferman edition (11-year-old);BourbonSherry;;;;;;;;;;;55.643889;-6.118611;/wiki/File:2019-05-05_Lagavulin_Distillery.jpg
Laphroaig;Port Ellen;Islay;1815;Suntory Global Spirits;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Laphroaig_distillery;;1815[1];Operational;The Kilbride Dam;3 wash4 spirit[2];3,300,000 litres[3];;;10-year-old10-year-old (cask strength)10-year-old sherry oak finishLoreSelectQuarter CaskCàirdeas15-year-old (re-released 2015)18-year-old (discontinued 2015)[4]25-year-old27-year-old30-year-old32-year-old40-year-old;American Oak BourbonOak Quarter CaskEuropean Oak Oloroso sherry;;40%43%48%55.3%;;;;;;;;;55.626944;-6.1525;/wiki/File:Laphroaig_Distillery_-_geograph.org.uk_-_2531274.jpg
Leven;Leven, Fife, Scotland;Lowland;2013;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Leven_distillery;;2013;Active;Town supply;1 wash still (1,000 L)1 spirit still (1,000 L);250,000 L;;;;;;;;;;;;;;;56.186389;-3.016944;/wiki/File:Entrance_to_Diageo%27s_works_at_Leven_-_geograph.org.uk_-_5240101.jpg
Lindores Abbey;Newburgh, Fife;Lowland;2017;Mckenzie Smith family;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Lindores_Abbey_distillery;;2017;;Borehole;1 wash still2 spirit stills;260,000 L;;;;;;;;;;;;;;;56.3518;-3.2254;/wiki/File:Lindores_Abbey_Distillery_opened_in_2017.jpg
Linkwood;"Elgin, Scotland 57°38′08″N 3°17′10″W﻿ / ﻿57.635448°N 3.286238°W﻿ / 57.635448; -3.286238";Speyside;1821;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Linkwood_distillery;;1821;Operational;springs near Milbuies Loch;3 wash, 3 spirit (1 wash, 1 spirit in Linkwood A, 2 wash 2 spirit in Linkwood B);2,500,000 litres;;1941 to 1945, 1985 to 1990;37 Years, 1978 Vintage;;;50.3 ABV;;;;;;;;;57.635448;-3.286238;/wiki/File:Linkwood_Distillery,Elgin._-_geograph.org.uk_-_101062.jpg
Lochlea;Ayrshire, Scotland;Lowland;2018;;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Lochlea_distillery;;2018 (2018);;;2 wash stills2 spirit stills;200,000 liters;;;;;Neil McGeoch;;;;;;;;;;;;
Loch Lomond;;Highland;1964;Loch Lomond Distillery Company;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Loch_Lomond_distillery;;1964;Active;Borehole;4 wash stills4 spirit stills3 column stills;3,000,000 litres (malt) & 20,000,000 litres (grain);;;;;;;;;;;;;;;55.999722;-4.576111;/wiki/File:Loch_Lomond_Distillery_-_geograph.org.uk_-_2919725.jpg
Longmorn;Longmorn, Moray;Speyside;1893;Chivas Brothers(Pernod Ricard);;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Longmorn_distillery;;1893;Operational;Local Springs;4 wash stills4 spirit stills;3,500,000 litres per annum;;;15, 16 Years;American White Oak, Ex-Bourbon Casks (Main);;40% - 43%;Single malt;;;;;;;;57.61;-3.271111;/wiki/File:Longmorn_Distillery_-_geograph.org.uk_-_1190718.jpg
Macallan;Easter Elchies, Craigellachie, Moray, Scotland;Speyside;1824;Edrington;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/The_Macallan_distillery;;"1824; 201 years ago (1824)";Operational;River Spey;12 wash stills (13,000 L)24 spirit stills (3,900 L);15,000,000 L;www.themacallan.com;;12 to 81 years old;Sherry (both American & European oak) and Bourbon (American oak);Alexander Reid;;Single malt;Rogers Stirk Harbour + Partners (2018);;;;;;;57.491389;-3.203333;/wiki/File:The_Macallan_distillery_Logo.svg
Macduff;Macduff;Highland;1960;John Dewar & Sons(Bacardi);;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Macduff_distillery;;1960;Operational;Local;2 wash stills3 spirit stills;2,400,000 litres of alcohol per annum;;;;;;40%;Single malt;;;;;;;;57.660833;-2.508333;/wiki/File:Macduff_Distillery_-_geograph.org.uk_-_1762731.jpg
Mannochmore;Elgin;Speyside;1971;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Mannochmore_distillery;;1971;Active;Bardon Burn;3 Wash stills: each 14,400 L3 Spirit stills: each 17,000 L;3,200,000 L;;;;;John Haig & Co.;;;;;;;;;;57.593056;-3.321944;/wiki/File:Mannochmore_Distillery_-_geograph.org.uk_-_366878.jpg
Miltonduff;Near Elgin, Speyside;Speyside;1824;Chivas Brothers(Pernod Ricard);;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Miltonduff_distillery;;1824;;Local spring[1];3 wash stills (18,000 L)3 spirit stills (18,000 L);5,800,000 L[1];;;;;;;;;;;;;;;57.626944;-3.372778;/wiki/File:Miltonduff_Distillery_-_geograph.org.uk_-_1514922.jpg
